number,target,multiplier,addend,total,diff,angle
1,1,12.5,3.5,1.0,0.0,45.00000000000001
3,3,12.5,10.5,3.0,0.0,45.0
5,33,12.5,3.5,4.125,0.875,39.52263127117112
7,23,12.5,4.5,5.75,1.25,39.40066066347942
9,29,12.5,3.5,7.25,1.75,38.85337434035333
11,9,12.5,6.5,9.0,2.0,39.28940686250036
13,83,12.5,3.5,10.375,2.625,38.59255971746682
15,3,12.5,4.5,12.0,3.0,38.65980825409008
17,27,12.5,3.5,13.5,3.5,38.45370921670597
19,1,12.5,18.5,16.0,3.0,40.10090754621224
21,133,12.5,3.5,16.625,4.375,38.36748538486153
23,73,12.5,4.5,18.25,4.75,38.431235878178875
25,79,12.5,3.5,19.75,5.25,38.30873556744771
27,43,12.5,6.5,21.5,5.5,38.53018001482684
29,183,12.5,3.5,22.875,6.125,38.266133089005145
31,49,12.5,4.5,24.5,6.5,38.32011393677745
33,13,12.5,3.5,26.0,7.0,38.23382517744694
35,7,12.5,10.5,28.0,7.0,38.65980825409008
37,233,12.5,3.5,29.125,7.875,38.20848267583966
39,123,12.5,4.5,30.75,8.25,38.25442035251718
41,129,12.5,3.5,32.25,8.75,38.188072226118855
43,17,12.5,6.5,34.0,9.0,38.333340109098636
45,283,12.5,3.5,35.375,9.625,38.171281727406786
47,37,12.5,4.5,37.0,10.0,38.21102542556121
49,77,12.5,3.5,38.5,10.5,38.15722658736906
51,3,12.5,130.5,48.0,3.0,43.26429541107162
53,333,12.5,3.5,41.625,11.375,38.14528872328239
55,173,12.5,4.5,43.25,11.75,38.18022308603909
57,179,12.5,3.5,44.75,12.25,38.13502322498
59,93,12.5,6.5,46.5,12.5,38.24290245549412
61,383,12.5,3.5,47.875,13.125,38.12610167625431
63,99,12.5,4.5,49.5,13.5,38.15722658736906
65,51,12.5,3.5,51.0,14.0,38.11827636936305
67,53,12.5,10.5,53.0,14.0,38.345574953993406
69,433,12.5,3.5,54.125,14.875,38.11135694741041
71,223,12.5,4.5,55.75,15.25,38.13940242259545
73,229,12.5,3.5,57.25,15.75,38.10519471472257
75,59,12.5,6.5,59.0,16.0,38.1909498203866
77,483,12.5,3.5,60.375,16.625,38.099671830722706
79,31,12.5,4.5,62.0,17.0,38.12518197129576
81,127,12.5,3.5,63.5,17.5,38.09469370140614
83,33,12.5,18.5,66.0,17.0,38.491043559497435
85,533,12.5,3.5,66.625,18.375,38.09018351641126
87,273,12.5,4.5,68.25,18.75,38.11357266856802
89,279,12.5,3.5,69.75,19.25,38.08607825747577
91,143,12.5,6.5,71.5,19.5,38.15722658736906
93,583,12.5,3.5,72.875,20.125,38.08232573578894
95,149,12.5,4.5,74.5,20.5,38.10391580534648
97,19,12.5,3.5,76.0,21.0,38.078882361565
99,39,12.5,10.5,78.0,21.0,38.23382517744694
101,633,12.5,3.5,79.125,21.875,38.07571144306004
103,323,12.5,4.5,80.75,22.25,38.095757048123666
105,329,12.5,3.5,82.25,22.75,38.072781873990834
107,21,12.5,6.5,84.0,23.0,38.13357019750229
109,683,12.5,3.5,85.375,23.625,38.07006710968005
111,87,12.5,4.5,87.0,24.0,38.08877288097533
113,177,12.5,3.5,88.5,24.5,38.06754436045241
115,23,12.5,34.5,92.0,23.0,38.65980825409008
117,733,12.5,3.5,91.625,25.375,38.06519395033767
119,373,12.5,4.5,93.25,25.75,38.08272668385613
121,379,12.5,3.5,94.75,26.25,38.06299880286091
123,193,12.5,6.5,96.5,26.5,38.116058439603265
125,783,12.5,3.5,97.875,27.125,38.06094402547733
127,199,12.5,4.5,99.5,27.5,38.0774413933164
129,101,12.5,3.5,101.0,28.0,38.05901657125742
131,103,12.5,10.5,103.0,28.0,38.17653760096648
133,833,12.5,3.5,104.125,28.875,38.05720496157284
135,423,12.5,4.5,105.75,29.25,38.07278187399084
137,429,12.5,3.5,107.25,29.75,38.055499057325
139,109,12.5,6.5,109.0,30.0,38.10257244224826
141,883,12.5,3.5,110.375,30.625,38.05388986908412
143,7,12.5,4.5,112.0,31.0,38.068643201684175
