number,target,multiplier,addend,total,diff,angle
1,1,488.28125,23.71875,1.0,0.0,45.00000000000001
3,3,488.28125,71.15625,3.0,0.0,45.0
5,83,488.28125,214.59375,5.1875,-0.1875,46.054404503521845
7,229,488.28125,246.03125,7.15625,-0.15625,45.63237806797504
9,573,488.28125,189.46875,8.953125,0.046875,44.8504030043975
11,183,488.28125,484.90625,11.4375,-0.4375,46.11704635031857
13,13,488.28125,308.34375,13.0,0.0,45.0
15,3,488.28125,4963.78125,24.0,-9.0,57.9946167919165
17,17,488.28125,403.21875,17.0,0.0,45.0
19,1,488.28125,7106.65625,32.0,-13.0,59.30027744918559
21,651,488.28125,162.09375,20.34375,0.65625,44.09061955080086
23,1433,488.28125,233.53125,22.390625,0.609375,44.2308429710705
25,49,488.28125,336.96875,24.5,0.5,44.421274434392245
27,27,488.28125,640.40625,27.0,0.0,45.00000000000001
29,3583,488.28125,171.84375,27.9921875,1.0078125,43.98692456542308
31,483,488.28125,319.28125,30.1875,0.8125,44.23922230921388
33,33,488.28125,782.71875,33.0,0.0,45.0
35,73,488.28125,1598.15625,36.5,-1.5,46.20183306445212
37,2279,488.28125,165.59375,35.609375,1.390625,43.902797282379005
39,151,488.28125,285.03125,37.75,1.25,44.066926476781546
41,633,488.28125,236.46875,39.5625,1.4375,43.97776330475399
43,43,488.28125,1019.90625,43.0,0.0,45.00000000000001
45,693,488.28125,203.34375,43.3125,1.6875,43.90530940814697
47,729,488.28125,378.78125,45.5625,1.4375,44.110265360891994
49,189,488.28125,266.21875,47.25,1.75,43.95837332399003
51,3,488.28125,24249.65625,96.0,-45.0,62.02052561151985
53,407,488.28125,169.09375,50.875,2.125,43.828047642857165
55,1693,488.28125,232.53125,52.90625,2.09375,43.88840556788949
57,29,488.28125,1863.96875,58.0,-1.0,45.498211612613645
59,1823,488.28125,359.40625,56.96875,2.03125,43.99653870020248
61,1873,488.28125,182.84375,58.53125,2.46875,43.81680440766768
63,123,488.28125,726.28125,61.5,1.5,44.309722802134914
65,3,488.28125,17413.71875,96.0,-31.0,55.89872580575287
67,2083,488.28125,613.15625,65.09375,1.90625,44.1732197869109
69,4233,488.28125,172.59375,66.140625,2.859375,43.78788722387605
71,2183,488.28125,260.03125,68.21875,2.78125,43.855522748717306
73,4479,488.28125,187.46875,69.984375,3.015625,43.79177726041411
75,583,488.28125,690.90625,72.875,2.125,44.176702271228955
77,1183,488.28125,258.34375,73.9375,3.0625,43.83763642649727
79,77,488.28125,849.78125,77.0,2.0,44.26547896574518
81,623,488.28125,321.21875,77.875,3.125,43.87316301830958
83,83,488.28125,1968.65625,83.0,0.0,45.0
85,20833,488.28125,162.09375,81.37890625,3.62109375,43.75320348854523
87,167,488.28125,271.53125,83.5,3.5,43.82400546998206
89,2729,488.28125,206.96875,85.28125,3.71875,43.77762896154855
91,23,488.28125,2670.40625,92.0,-1.0,45.31308857502066
93,2849,488.28125,173.84375,89.03125,3.96875,43.75100234338315
95,5833,488.28125,277.28125,91.140625,3.859375,43.81221941184679
97,1,488.28125,18172.71875,128.0,-31.0,52.84469609952957
99,193,488.28125,1068.15625,96.5,2.5,44.26735733113523
101,3093,488.28125,171.59375,96.65625,4.34375,43.74105429005669
103,1583,488.28125,363.03125,98.9375,4.0625,43.84750127836277
105,6433,488.28125,194.46875,100.515625,4.484375,43.749997740103986
107,833,488.28125,1065.90625,104.125,2.875,44.21982150302397
109,209,488.28125,281.34375,104.5,4.5,43.79253940352895
111,427,488.28125,456.78125,106.75,4.25,43.881854653885185
113,1733,488.28125,280.21875,108.3125,4.6875,43.7866305994496
115,229,488.28125,2471.65625,114.5,0.5,44.875172791151144
