number,target,multiplier,addend,total,diff,angle
1,1,78.125,49.875,0.5,0.5,26.565051177077994
3,3,78.125,149.625,1.5,1.5,26.565051177077994
5,13,78.125,25.375,1.625,3.375,18.004161605913392
7,73,78.125,37.125,2.28125,4.71875,18.05041916333751
9,183,78.125,28.875,2.859375,6.140625,17.625486173926483
11,29,78.125,68.625,3.625,7.375,18.239400846651158
13,33,78.125,40.375,4.125,8.875,17.604633336664
15,3,78.125,364.125,6.0,9.0,21.801409486351798
17,43,78.125,47.875,5.375,11.625,17.5457287456963
19,1,78.125,563.625,8.0,11.0,22.833654177917552
21,833,78.125,25.375,6.5078125,14.4921875,17.21799098888472
23,229,78.125,35.125,7.15625,15.84375,17.283075638223597
25,31,78.125,30.875,7.75,17.25,17.223436191131462
27,17,78.125,66.625,8.5,18.5,17.47477425625567
29,573,78.125,26.375,8.953125,20.046875,17.15694524688387
31,77,78.125,42.125,9.625,21.375,17.248725826233024
33,83,78.125,77.875,10.375,22.625,17.45283165969782
35,23,78.125,209.625,11.5,23.5,18.189045699651324
37,729,78.125,25.375,11.390625,25.609375,17.111229826484518
39,193,78.125,41.125,12.0625,26.9375,17.186570099402996
41,101,78.125,28.875,12.625,28.375,17.11500312900023
43,27,78.125,96.625,13.5,29.5,17.429862817667832
45,443,78.125,28.375,13.84375,31.15625,17.099932961856016
47,233,78.125,56.125,14.5625,32.4375,17.215094474022166
49,483,78.125,35.875,15.09375,33.90625,17.120701295788216
51,3,78.125,2159.625,24.0,27.0,25.20112364547508
53,2083,78.125,25.375,16.2734375,36.7265625,17.068894284905223
55,1083,78.125,35.125,16.921875,38.078125,17.101585158074467
57,9,78.125,154.875,18.0,39.0,17.52556837372286
59,583,78.125,54.625,18.21875,40.78125,17.160289079426775
61,599,78.125,26.375,18.71875,42.28125,17.059404356476637
63,39,78.125,70.125,19.5,43.5,17.198541220065852
65,3,78.125,1065.875,24.0,41.0,20.26569747094749
67,333,78.125,93.625,20.8125,46.1875,17.25658810668925
69,677,78.125,25.375,21.15625,47.84375,17.046184699719678
71,349,78.125,37.125,21.8125,49.1875,17.07791639595664
73,1433,78.125,28.875,22.390625,50.609375,17.051870659739063
75,93,78.125,92.625,23.25,51.75,17.223436191131462
77,189,78.125,32.375,23.625,53.375,17.05696557661707
79,49,78.125,100.125,24.5,54.5,17.230052713939756
81,199,78.125,39.875,24.875,56.125,17.0716575081541
83,13,78.125,171.625,26.0,57.0,17.39332214691203
85,3333,78.125,25.375,26.0390625,58.9609375,17.03202181057676
87,427,78.125,35.125,26.6875,60.3125,17.053545571128836
89,873,78.125,30.875,27.28125,61.71875,17.041920458981348
91,7,78.125,58.625,28.0,63.0,17.102728969052368
93,1823,78.125,26.375,28.484375,64.515625,17.02896749462585
95,933,78.125,42.125,29.15625,65.84375,17.061663379928977
97,1,78.125,613.875,32.0,65.0,18.257563075389733
99,123,78.125,137.625,30.75,68.25,17.255111002091965
101,1979,78.125,25.375,30.921875,70.078125,17.02234493995096
103,253,78.125,49.125,31.625,71.375,17.068519619945196
105,1029,78.125,28.875,32.15625,72.84375,17.02720733504794
107,133,78.125,152.625,33.25,73.75,17.262510092207325
109,267,78.125,28.375,33.375,75.625,17.02420368350974
