number,target,multiplier,addend,total,diff,angle
369,1,10.125,359.875,128.0,241.0,19.130814762430813
371,59,10.125,19.625,118.0,253.0,17.643749522636337
373,1,10.125,319.375,128.0,245.0,18.940351571990583
375,119,10.125,11.125,119.0,256.0,17.605968062582477
377,479,10.125,14.875,119.75,257.25,17.621891201020137
379,481,10.125,10.625,120.25,258.75,17.603312678141553
381,485,10.125,22.375,121.25,259.75,17.65322774778307
383,1943,10.125,8.125,121.4375,261.5625,17.592217349418398
385,245,10.125,21.875,122.5,262.5,17.650124219930113
387,31,10.125,49.625,124.0,263.0,17.766156869953356
389,125,10.125,61.375,125.0,264.0,17.81412102075722
391,31,10.125,9.125,124.0,267.0,17.595672069943994
393,499,10.125,12.875,124.75,268.25,17.61100112630889
395,251,10.125,16.625,125.5,269.5,17.626172387908177
397,17,10.125,332.375,136.0,261.0,18.90988412024506
399,253,10.125,8.125,126.5,272.5,17.590833322158886
401,1,10.125,35.875,128.0,273.0,17.703186770680436
403,1,10.125,15.625,128.0,275.0,17.620777890027036
405,17,10.125,251.375,136.0,269.0,18.562178324044638
407,65,10.125,39.125,130.0,277.0,17.71401851366328
409,65,10.125,18.875,130.0,279.0,17.632775881891522
411,1043,10.125,10.625,130.375,280.625,17.5997619067717
413,263,10.125,26.375,131.5,281.5,17.661575932067258
415,2105,10.125,8.125,131.5625,283.4375,17.589555996263222
417,265,10.125,17.875,132.5,284.5,17.627436192798154
419,67,10.125,45.625,134.0,285.0,17.734747700411564
421,269,10.125,41.375,134.5,286.5,17.717507866440265
423,1073,10.125,9.125,134.125,288.875,17.592799797323448
425,1079,10.125,12.875,134.875,290.125,17.606988722028838
427,271,10.125,12.625,135.5,291.5,17.605805520902884
429,137,10.125,40.375,137.0,292.0,17.710742988756135
431,1093,10.125,8.125,136.625,294.375,17.588373490534806
433,35,10.125,95.875,140.0,293.0,17.917349885203073
435,35,10.125,75.625,140.0,295.0,17.840204307703498
437,71,10.125,119.375,142.0,295.0,18.001196906572503
439,557,10.125,11.125,139.25,299.75,17.59893240590864
441,35,10.125,14.875,140.0,301.0,17.612577842923844
443,281,10.125,10.625,140.5,302.5,17.596724002843363
445,283,10.125,22.375,141.5,303.5,17.639494698320593
447,2267,10.125,8.125,141.6875,305.3125,17.58727562460927
449,143,10.125,29.875,143.0,306.0,17.665924140343975
451,287,10.125,25.625,143.5,307.5,17.650124219930113
453,1,10.125,3605.375,256.0,197.0,29.471721128115757
455,577,10.125,9.125,144.25,310.75,17.59033146372367
457,145,10.125,12.875,145.0,312.0,17.60353808730905
459,73,10.125,24.625,146.0,313.0,17.64497172178635
461,37,10.125,68.375,148.0,313.0,17.79877101523962
463,587,10.125,8.125,146.75,316.25,17.586253625120644
465,37,10.125,27.875,148.0,317.0,17.65520994506439
467,593,10.125,15.625,148.25,318.75,17.612135554747518
469,5,10.125,371.375,160.0,309.0,18.837146157025753
471,299,10.125,15.125,149.5,321.5,17.60994661893309
473,19,10.125,74.875,152.0,321.0,17.8149677689285
475,1205,10.125,10.625,150.625,324.375,17.59409533404457
477,19,10.125,34.375,152.0,325.0,17.674910418207894
479,2429,10.125,8.125,151.8125,327.1875,17.58529989074813
481,611,10.125,17.875,152.75,328.25,17.618160050575007
483,5,10.125,229.625,160.0,323.0,18.32812027142648
485,155,10.125,49.375,155.0,330.0,17.72323661688633
487,1235,10.125,9.125,154.375,332.625,17.588187456002615
489,1241,10.125,12.875,155.125,333.875,17.600538962285
491,623,10.125,12.625,155.75,335.25,17.599536187509184
493,157,10.125,32.375,157.0,336.0,17.664514118207652
495,1255,10.125,8.125,156.875,338.125,17.58440780282256
497,5,10.125,87.875,160.0,337.0,17.845007072168723
499,317,10.125,19.625,158.5,340.5,17.621683711235704
501,161,10.125,79.375,161.0,340.0,17.81518691934066
503,319,10.125,11.125,159.5,343.5,17.593686778371396
505,641,10.125,14.875,160.25,344.75,17.60562447165783
507,643,10.125,10.625,160.75,346.25,17.59179842670004
509,647,10.125,22.375,161.75,347.25,17.629213776397993
511,2591,10.125,8.125,161.9375,349.0625,17.58357157150866
