number,target,multiplier,addend,total,diff,angle
1,1,1,1,1.0,0.0,45.00000000000001
3,1,1,1,2.0,1.0,33.690067525979785
5,3,1,1,3.0,2.0,30.963756532073536
7,1,1,1,4.0,3.0,29.744881296942214
9,5,1,1,5.0,4.0,29.054604099077153
11,3,1,1,6.0,5.0,28.61045966596522
13,7,1,1,7.0,6.0,28.300755766006375
15,1,1,1,8.0,7.0,28.072486935852965
17,9,1,1,9.0,8.0,27.897271030947618
19,5,1,1,10.0,9.0,27.758540601060027
21,11,1,1,11.0,10.0,27.645975363738668
23,3,1,1,12.0,11.0,27.55281157671779
25,13,1,1,13.0,12.0,27.474431626277134
27,7,1,1,14.0,13.0,27.407575437818405
29,15,1,1,15.0,14.0,27.349875780069887
31,1,1,1,16.0,15.0,27.29957221133282
33,17,1,1,17.0,16.0,27.255328374943062
35,9,1,1,18.0,17.0,27.21611155730748
37,19,1,1,19.0,18.0,27.181111085477223
39,5,1,1,20.0,19.0,27.149681697783173
41,21,1,1,21.0,20.0,27.12130340415866
43,11,1,1,22.0,21.0,27.095552493751804
45,23,1,1,23.0,22.0,27.072080237992772
47,3,1,1,24.0,23.0,27.050597007086125
49,25,1,1,25.0,24.0,27.03086025984298
51,13,1,1,26.0,25.0,27.012665347938537
53,27,1,1,27.0,26.0,26.995838394086626
55,7,1,1,28.0,27.0,26.98023071822285
57,29,1,1,29.0,28.0,26.965714432870143
59,15,1,1,30.0,29.0,26.952178931228943
61,31,1,1,31.0,30.0,26.93952806380083
63,1,1,1,32.0,31.0,26.927677851040507
65,33,1,1,33.0,32.0,26.916554616951352
67,17,1,1,34.0,33.0,26.906093455936848
69,35,1,1,35.0,34.0,26.896236965493376
71,9,1,1,36.0,35.0,26.886934192476716
73,37,1,1,37.0,36.0,26.878139752098647
75,19,1,1,38.0,37.0,26.869813087499065
77,39,1,1,39.0,38.0,26.861917844402686
79,5,1,1,40.0,39.0,26.85442134051858
81,41,1,1,41.0,40.0,26.847294113348852
83,21,1,1,42.0,41.0,26.84050953321323
85,43,1,1,43.0,42.0,26.83404347077447
87,11,1,1,44.0,43.0,26.827874010314506
89,45,1,1,45.0,44.0,26.821981201581504
91,23,1,1,46.0,45.0,26.816346844286937
93,47,1,1,47.0,46.0,26.810954300348694
95,3,1,1,48.0,47.0,26.80578832979979
97,49,1,1,49.0,48.0,26.800834946954605
99,25,1,1,50.0,49.0,26.79608129397346
101,51,1,1,51.0,50.0,26.791515529419183
103,13,1,1,52.0,51.0,26.787126729771455
105,53,1,1,53.0,52.0,26.782904802175157
107,27,1,1,54.0,53.0,26.778840406955094
109,55,1,1,55.0,54.0,26.774924888645547
111,7,1,1,56.0,55.0,26.771150214462118
113,57,1,1,57.0,56.0,26.767508919296187
115,29,1,1,58.0,57.0,26.76399405643862
117,59,1,1,59.0,58.0,26.76059915334885
119,15,1,1,60.0,59.0,26.75731817187656
121,61,1,1,61.0,60.0,26.754145472421747
123,31,1,1,62.0,61.0,26.751075781585516
125,63,1,1,63.0,62.0,26.748104162921454
127,1,1,1,64.0,63.0,26.74522599044621
129,65,1,1,65.0,64.0,26.742436924610256
131,33,1,1,66.0,65.0,26.739732890466566
133,67,1,1,67.0,66.0,26.737110057805868
135,17,1,1,68.0,67.0,26.734564823055074
137,69,1,1,69.0,68.0,26.732093792758885
139,35,1,1,70.0,69.0,26.729693768485443
141,71,1,1,71.0,70.0,26.727361733014675
143,9,1,1,72.0,71.0,26.725094837683987
145,73,1,1,73.0,72.0,26.722890390779877
147,37,1,1,74.0,73.0,26.720745846875772
149,75,1,1,75.0,74.0,26.718658797027373
151,19,1,1,76.0,75.0,26.716626959746307
