number,target,multiplier,addend,total,diff,angle
1,1,3,1,1.0,0.0,45.00000000000001
3,5,3,1,2.5,0.5,39.80557109226519
5,1,3,1,4.0,1.0,38.65980825409008
7,11,3,1,5.5,1.5,38.157226587369074
9,7,3,1,7.0,2.0,37.8749836510982
11,17,3,1,8.5,2.5,37.69424046668917
13,5,3,1,10.0,3.0,37.56859202882751
15,23,3,1,11.5,3.5,37.47617956136138
17,13,3,1,13.0,4.0,37.40535663140855
19,29,3,1,14.5,4.5,37.34934904464059
21,1,3,1,16.0,5.0,37.30394827798342
23,35,3,1,17.5,5.5,37.26640190097714
25,19,3,1,19.0,6.0,37.23483398157467
27,41,3,1,20.5,6.5,37.20792192178156
29,11,3,1,22.0,7.0,37.184706453233126
31,47,3,1,23.5,7.5,37.164474893511446
33,25,3,1,25.0,8.0,37.14668669802179
35,53,3,1,26.5,8.5,37.130924448209484
37,7,3,1,28.0,9.0,37.116860683270275
39,59,3,1,29.5,9.5,37.10423490570622
41,31,3,1,31.0,10.0,37.09283729704155
43,65,3,1,32.5,10.5,37.08249696517166
45,17,3,1,34.0,11.0,37.0730733173104
47,71,3,1,35.5,11.5,37.06444962991118
49,37,3,1,37.0,12.0,37.0565281894096
51,77,3,1,38.5,12.5,37.049226573607
53,5,3,1,40.0,13.0,37.04247477308286
55,83,3,1,41.5,13.5,37.03621293928122
57,43,3,1,43.0,14.0,37.030389605678636
59,89,3,1,44.5,14.5,37.02496027000712
61,23,3,1,46.0,15.0,37.01988625483148
63,95,3,1,47.5,15.5,37.01513378474342
65,49,3,1,49.0,16.0,37.0106732336031
67,101,3,1,50.5,16.5,37.00647850636021
69,13,3,1,52.0,17.0,37.00252652819617
71,107,3,1,53.5,17.5,36.99879681986182
73,55,3,1,55.0,18.0,36.995271142707146
75,113,3,1,56.5,18.5,36.99193320041479
77,29,3,1,58.0,19.0,36.98876838714398
79,119,3,1,59.5,19.5,36.9857635738725
81,61,3,1,61.0,20.0,36.98290692634467
83,125,3,1,62.5,20.5,36.98018774930181
85,1,3,1,64.0,21.0,36.97759635267251
87,131,3,1,65.5,21.5,36.975123936193796
89,67,3,1,67.0,22.0,36.972762489568055
91,137,3,1,68.5,22.5,36.97050470576841
93,35,3,1,70.0,23.0,36.96834390551627
95,143,3,1,71.5,23.5,36.966273971286206
97,73,3,1,73.0,24.0,36.964289289465206
99,149,3,1,74.5,24.5,36.962384699514345
101,19,3,1,76.0,25.0,36.960555449163344
103,155,3,1,77.5,25.5,36.958797154819315
105,79,3,1,79.0,26.0,36.957105766494685
107,161,3,1,80.5,26.5,36.955477536664404
109,41,3,1,82.0,27.0,36.9539089925476
111,167,3,1,83.5,27.5,36.95239691138271
113,85,3,1,85.0,28.0,36.9509382983255
115,173,3,1,86.5,28.5,36.94953036665081
117,11,3,1,88.0,29.0,36.94817051998298
119,179,3,1,89.5,29.5,36.946856336316216
121,91,3,1,91.0,30.0,36.945585553618244
123,185,3,1,92.5,30.5,36.944356056836966
125,47,3,1,94.0,31.0,36.94316586615346
127,191,3,1,95.5,31.5,36.94201312634366
129,97,3,1,97.0,32.0,36.940896097129034
131,197,3,1,98.5,32.5,36.93981314440999
133,25,3,1,100.0,33.0,36.93876273228984
135,203,3,1,101.5,33.5,36.93774341580687
137,103,3,1,103.0,34.0,36.93675383430274
139,209,3,1,104.5,34.5,36.93579270536262
141,53,3,1,106.0,35.0,36.93485881927076
143,215,3,1,107.5,35.5,36.93395103393094
145,109,3,1,109.0,36.0,36.9330682702069
147,221,3,1,110.5,36.5,36.93220950764288
149,7,3,1,112.0,37.0,36.93137378052848
151,227,3,1,113.5,37.5,36.930560174276046
153,115,3,1,115.0,38.0,36.929767822081914
155,233,3,1,116.5,38.5,36.928995901846015
157,59,3,1,118.0,39.0,36.928243633326645
159,239,3,1,119.5,39.5,36.92751027550986
161,121,3,1,121.0,40.0,36.92679512417481
163,245,3,1,122.5,40.5,36.92609750963815
165,31,3,1,124.0,41.0,36.925416794662375
167,251,3,1,125.5,41.5,36.924752372514384
169,127,3,1,127.0,42.0,36.9241036651617
171,257,3,1,128.5,42.5,36.923470121595344
173,65,3,1,130.0,43.0,36.922851216268796
175,263,3,1,131.5,43.5,36.922246447644014
177,133,3,1,133.0,44.0,36.921655336836
179,269,3,1,134.5,44.5,36.921077426348
181,17,3,1,136.0,45.0,36.92051227889075
183,275,3,1,137.5,45.5,36.91995947627886
185,139,3,1,139.0,46.0,36.91941861839892
187,281,3,1,140.5,46.5,36.91888932224366
189,71,3,1,142.0,47.0,36.91837122100744
191,287,3,1,143.5,47.5,36.91786396323854
193,145,3,1,145.0,48.0,36.91736721204417
195,293,3,1,146.5,48.5,36.91688064434419
197,37,3,1,148.0,49.0,36.91640395017049
199,299,3,1,149.5,49.5,36.91593683200852
201,151,3,1,151.0,50.0,36.915479004177946
203,305,3,1,152.5,50.5,36.915030192250164
205,77,3,1,154.0,51.0,36.914590132499704
207,311,3,1,155.5,51.5,36.91415857138742
209,157,3,1,157.0,52.0,36.91373526507345
211,317,3,1,158.5,52.5,36.91331997895786
213,5,3,1,160.0,53.0,36.912912487246885
215,323,3,1,161.5,53.5,36.91251257254379
217,163,3,1,163.0,54.0,36.91212002546199
219,329,3,1,164.5,54.5,36.91173464425953
221,83,3,1,166.0,55.0,36.91135623449339
223,335,3,1,167.5,55.5,36.910984608692274
225,169,3,1,169.0,56.0,36.910619586047034
227,341,3,1,170.5,56.5,36.9102609921172
229,43,3,1,172.0,57.0,36.909908658553206
231,347,3,1,173.5,57.5,36.909562422832614
233,175,3,1,175.0,58.0,36.9092221280104
235,353,3,1,176.5,58.5,36.908887622481515
237,89,3,1,178.0,59.0,36.90855875975588
239,359,3,1,179.5,59.5,36.908235398244315
241,181,3,1,181.0,60.0,36.907917401055364
243,365,3,1,182.5,60.5,36.90760463580208
245,23,3,1,184.0,61.0,36.907296974418244
247,371,3,1,185.5,61.5,36.906994292983484
249,187,3,1,187.0,62.0,36.9066964715569
251,377,3,1,188.5,62.5,36.90640339401855
253,95,3,1,190.0,63.0,36.90611494791859
255,383,3,1,191.5,63.5,36.90583102433329
257,193,3,1,193.0,64.0,36.90555151772799
259,389,3,1,194.5,64.5,36.90527632582628
261,49,3,1,196.0,65.0,36.90500534948519
263,395,3,1,197.5,65.5,36.90473849257614
265,199,3,1,199.0,66.0,36.90447566187125
