number,target,multiplier,addend,total,diff,angle
1,3,5,1,0.75,0.25,36.86989764584401
3,1,5,1,2.0,1.0,33.690067525979785
5,13,5,1,3.25,1.75,33.023867555796656
7,9,5,1,4.5,2.5,32.7352262721076
9,23,5,1,5.75,3.25,32.574057134572506
11,7,5,1,7.0,4.0,32.47119229084849
13,33,5,1,8.25,4.75,32.39984017391932
15,19,5,1,9.5,5.5,32.34744349944203
17,43,5,1,10.75,6.25,32.307334454882124
19,3,5,1,12.0,7.0,32.27564431457763
21,53,5,1,13.25,7.75,32.24997416418362
23,29,5,1,14.5,8.5,32.228757435098565
25,63,5,1,15.75,9.25,32.210927723673755
27,17,5,1,17.0,10.0,32.195733934713246
29,73,5,1,18.25,10.75,32.18263176720481
31,39,5,1,19.5,11.5,32.17121712854459
33,83,5,1,20.75,12.25,32.16118372009918
35,11,5,1,22.0,13.0,32.15229514128234
37,93,5,1,23.25,13.75,32.144366027090896
39,49,5,1,24.5,14.5,32.13724898104178
41,103,5,1,25.75,15.25,32.130825327331046
43,27,5,1,27.0,16.0,32.12499844038753
45,113,5,1,28.25,16.75,32.11968885097514
47,59,5,1,29.5,17.5,32.11483060029673
49,123,5,1,30.75,18.25,32.110368485940036
51,1,5,1,32.0,19.0,32.10625595511785
53,133,5,1,33.25,19.75,32.10245347440182
55,69,5,1,34.5,20.5,32.09892725478521
57,143,5,1,35.75,21.25,32.09564824488732
59,37,5,1,37.0,22.0,32.09259132873417
61,153,5,1,38.25,22.75,32.08973468120634
63,79,5,1,39.5,23.5,32.08705924614896
65,163,5,1,40.75,24.25,32.0845483107467
67,21,5,1,42.0,25.0,32.08218715606605
69,173,5,1,43.25,25.75,32.07996276832303
71,89,5,1,44.5,26.5,32.077863598912074
73,183,5,1,45.75,27.25,32.075879363851556
75,47,5,1,47.0,28.0,32.074000875294054
77,193,5,1,48.25,28.75,32.07221989927544
79,99,5,1,49.5,29.5,32.07052903505634
81,203,5,1,50.75,30.25,32.06892161232638
83,13,5,1,52.0,31.0,32.06739160326049
85,213,5,1,53.25,31.75,32.06593354698248
87,109,5,1,54.5,32.5,32.06454248444069
89,223,5,1,55.75,33.25,32.06321390205899
91,57,5,1,57.0,34.0,32.061943682813556
93,233,5,1,58.25,34.75,32.06072806361883
95,119,5,1,59.5,35.5,32.05956359809291
97,243,5,1,60.75,36.25,32.05844712392656
99,31,5,1,62.0,37.0,32.05737573420542
101,253,5,1,63.25,37.75,32.05634675213749
103,129,5,1,64.5,38.5,32.055357708723264
105,263,5,1,65.75,39.25,32.05440632297671
107,67,5,1,67.0,40.0,32.053490484363074
109,273,5,1,68.25,40.75,32.052608237169245
111,139,5,1,69.5,41.5,32.051757766562986
113,283,5,1,70.75,42.25,32.05093738613173
115,9,5,1,72.0,43.0,32.05014552672117
117,293,5,1,73.25,43.75,32.04938072641805
119,149,5,1,74.5,44.5,32.04864162154243
121,303,5,1,75.75,45.25,32.047926938533195
123,77,5,1,77.0,46.0,32.04723548662448
125,313,5,1,78.25,46.75,32.04656615122524
127,159,5,1,79.5,47.5,32.0459178879237
129,323,5,1,80.75,48.25,32.04528971704962
131,41,5,1,82.0,49.0,32.04468071873421
133,333,5,1,83.25,49.75,32.04409002841574
135,169,5,1,84.5,50.5,32.043516832744416
137,343,5,1,85.75,51.25,32.04296036584585
139,87,5,1,87.0,52.0,32.04241990590686
141,353,5,1,88.25,52.75,32.04189477205192
143,179,5,1,89.5,53.5,32.041384321481424
145,363,5,1,90.75,54.25,32.04088794684681
147,23,5,1,92.0,55.0,32.040405073839864
149,373,5,1,93.25,55.75,32.03993515897607
151,189,5,1,94.5,56.5,32.03947768755408
153,383,5,1,95.75,57.25,32.03903217177512
155,97,5,1,97.0,58.0,32.038598149007996
157,393,5,1,98.25,58.75,32.038175180186606
159,199,5,1,99.5,59.5,32.03776284832847
161,403,5,1,100.75,60.25,32.037360757163476
163,51,5,1,102.0,61.0,32.0369685298636
165,413,5,1,103.25,61.75,32.03658580786506
167,209,5,1,104.5,62.5,32.03621224977502
169,423,5,1,105.75,63.25,32.03584753035588
171,107,5,1,107.0,64.0,32.03549133958076
173,433,5,1,108.25,64.75,32.03514338175469
175,219,5,1,109.5,65.5,32.03480337469584
177,443,5,1,110.75,66.25,32.034471048972264
179,7,5,1,112.0,67.0,32.03414614718993
181,453,5,1,113.25,67.75,32.03382842332776
183,229,5,1,114.5,68.5,32.03351764211642
185,463,5,1,115.75,69.25,32.03321357845729
187,117,5,1,117.0,70.0,32.03291601687874
189,473,5,1,118.25,70.75,32.032624751026894
191,239,5,1,119.5,71.5,32.03233958318847
193,483,5,1,120.75,72.25,32.03206032384315
195,61,5,1,122.0,73.0,32.03178679124351
197,493,5,1,123.25,73.75,32.03151881102073
199,249,5,1,124.5,74.5,32.03125621581373
201,503,5,1,125.75,75.25,32.03099884492074
203,127,5,1,127.0,76.0,32.030746543971304
205,513,5,1,128.25,76.75,32.03049916461749
207,259,5,1,129.5,77.5,32.03025656424313
209,523,5,1,130.75,78.25,32.030018605689555
211,33,5,1,132.0,79.0,32.02978515699699
213,533,5,1,133.25,79.75,32.029556091160636
215,269,5,1,134.5,80.5,32.02933128590023
217,543,5,1,135.75,81.25,32.02911062344232
219,137,5,1,137.0,82.0,32.028893990314636
221,553,5,1,138.25,82.75,32.0286812771514
223,279,5,1,139.5,83.5,32.028472378509285
225,563,5,1,140.75,84.25,32.02826719269316
227,71,5,1,142.0,85.0,32.028065621590976
229,573,5,1,143.25,85.75,32.0278675705173
231,289,5,1,144.5,86.5,32.02767294806506
233,583,5,1,145.75,87.25,32.027481665964906
235,147,5,1,147.0,88.0,32.02729363895163
237,593,5,1,148.25,88.75,32.02710878463753
239,299,5,1,149.5,89.5,32.02692702339195
241,603,5,1,150.75,90.25,32.026748278227046
243,19,5,1,152.0,91.0,32.0265724746889
245,613,5,1,153.25,91.75,32.02639954075419
247,309,5,1,154.5,92.5,32.026229406731815
249,623,5,1,155.75,93.25,32.02606200516924
251,157,5,1,157.0,94.0,32.02589727076335
253,633,5,1,158.25,94.75,32.02573514027544
255,319,5,1,159.5,95.5,32.02557555245036
257,643,5,1,160.75,96.25,32.02541844793934
259,81,5,1,162.0,97.0,32.02526376922635
261,653,5,1,163.25,97.75,32.025111460557895
263,329,5,1,164.5,98.5,32.02496146787611
265,663,5,1,165.75,99.25,32.02481373875466
267,167,5,1,167.0,100.0,32.02466822233775
269,673,5,1,168.25,100.75,32.02452486928168
271,339,5,1,169.5,101.5,32.02438363169907
273,683,5,1,170.75,102.25,32.024244463105596
275,43,5,1,172.0,103.0,32.02410731836893
277,693,5,1,173.25,103.75,32.02397215365986
279,349,5,1,174.5,104.5,32.023838926405766
281,703,5,1,175.75,105.25,32.02370759524576
283,177,5,1,177.0,106.0,32.023578119987924
285,713,5,1,178.25,106.75,32.02345046156841
287,359,5,1,179.5,107.5,32.02332458201192
289,723,5,1,180.75,108.25,32.02320044439421
291,91,5,1,182.0,109.0,32.02307801280601
293,733,5,1,183.25,109.75,32.02295725231823
295,369,5,1,184.5,110.5,32.02283812894886
297,743,5,1,185.75,111.25,32.02272060963107
299,187,5,1,187.0,112.0,32.02260466218257
301,753,5,1,188.25,112.75,32.02249025527631
303,379,5,1,189.5,113.5,32.02237735841211
305,763,5,1,190.75,114.25,32.02226594188971
307,3,5,1,192.0,115.0,32.02215597678267
309,773,5,1,193.25,115.75,32.022047434913276
311,389,5,1,194.5,116.5,32.02194028882854
313,783,5,1,195.75,117.25,32.021834511777
315,197,5,1,197.0,118.0,32.02173007768648
317,793,5,1,198.25,118.75,32.02162696114269
319,399,5,1,199.5,119.5,32.02152513736852
321,803,5,1,200.75,120.25,32.02142458220432
323,101,5,1,202.0,121.0,32.02132527208866
325,813,5,1,203.25,121.75,32.02122718403999
327,409,5,1,204.5,122.5,32.02113029563894
329,823,5,1,205.75,123.25,32.021034585011165
331,207,5,1,207.0,124.0,32.02094003081091
333,833,5,1,208.25,124.75,32.02084661220521
335,419,5,1,209.5,125.5,32.020754308858415
337,843,5,1,210.75,126.25,32.02066310091763
339,53,5,1,212.0,127.0,32.02057296899833
341,853,5,1,213.25,127.75,32.02048389417073
343,429,5,1,214.5,128.5,32.020395857946426
345,863,5,1,215.75,129.25,32.02030884226573
347,217,5,1,217.0,130.0,32.020222829485185
349,873,5,1,218.25,130.75,32.020137802365745
351,439,5,1,219.5,131.5,32.020053744061215
353,883,5,1,220.75,132.25,32.019970638107075
355,111,5,1,222.0,133.0,32.01988846840983
357,893,5,1,223.25,133.75,32.01980721923655
359,449,5,1,224.5,134.5,32.019726875204825
361,903,5,1,225.75,135.25,32.0196474212731
363,227,5,1,227.0,136.0,32.019568842731275
365,913,5,1,228.25,136.75,32.01949112519156
367,459,5,1,229.5,137.5,32.01941425457982
369,923,5,1,230.75,138.25,32.01933821712693
371,29,5,1,232.0,139.0,32.0192629993607
373,933,5,1,233.25,139.75,32.019188588097784
375,469,5,1,234.5,140.5,32.019114970436064
377,943,5,1,235.75,141.25,32.01904213374717
379,237,5,1,237.0,142.0,32.018970065669244
381,953,5,1,238.25,142.75,32.01889875409998
383,479,5,1,239.5,143.5,32.01882818718978
385,963,5,1,240.75,144.25,32.018758353335286
387,121,5,1,242.0,145.0,32.01868924117292
389,973,5,1,243.25,145.75,32.018620839572804
391,489,5,1,244.5,146.5,32.01855313763274
393,983,5,1,245.75,147.25,32.01848612467242
395,247,5,1,247.0,148.0,32.01841979022783
397,993,5,1,248.25,148.75,32.01835412404576
399,499,5,1,249.5,149.5,32.01828911607855
401,1003,5,1,250.75,150.25,32.01822475647901
403,63,5,1,252.0,151.0,32.01816103559536
405,1013,5,1,253.25,151.75,32.01809794396646
407,509,5,1,254.5,152.5,32.018035472317074
409,1023,5,1,255.75,153.25,32.017973611553444
411,257,5,1,257.0,154.0,32.01791235275873
413,1033,5,1,258.25,154.75,32.017851687188795
415,519,5,1,259.5,155.5,32.017791606268084
417,1043,5,1,260.75,156.25,32.017732101585494
419,131,5,1,262.0,157.0,32.017673164890525
421,1053,5,1,263.25,157.75,32.017614788089396
423,529,5,1,264.5,158.5,32.01755696324145
425,1063,5,1,265.75,159.25,32.017499682555396
427,267,5,1,267.0,160.0,32.01744293838594
429,1073,5,1,268.25,160.75,32.01738672323037
431,539,5,1,269.5,161.5,32.017331029725156
433,1083,5,1,270.75,162.25,32.01727585064283
435,17,5,1,272.0,163.0,32.017221178888825
437,1093,5,1,273.25,163.75,32.01716700749842
439,549,5,1,274.5,164.5,32.01711332963382
441,1103,5,1,275.75,165.25,32.01706013858125
443,277,5,1,277.0,166.0,32.01700742774814
445,1113,5,1,278.25,166.75,32.01695519066045
447,559,5,1,279.5,167.5,32.01690342095994
449,1123,5,1,280.75,168.25,32.016852112401736
451,141,5,1,282.0,169.0,32.01680125885166
453,1133,5,1,283.25,169.75,32.016750854283835
455,569,5,1,284.5,170.5,32.016700892778374
457,1143,5,1,285.75,171.25,32.01665136851899
459,287,5,1,287.0,172.0,32.01660227579072
461,1153,5,1,288.25,172.75,32.0165536089778
463,579,5,1,289.5,173.5,32.016505362561496
465,1163,5,1,290.75,174.25,32.01645753111797
467,73,5,1,292.0,175.0,32.016410109316304
469,1173,5,1,293.25,175.75,32.01636309191654
471,589,5,1,294.5,176.5,32.01631647376762
473,1183,5,1,295.75,177.25,32.0162702498057
475,297,5,1,297.0,178.0,32.01622441505214
477,1193,5,1,298.25,178.75,32.01617896461184
479,599,5,1,299.5,179.5,32.01613389367139
481,1203,5,1,300.75,180.25,32.01608919749748
483,151,5,1,302.0,181.0,32.01604487143514
485,1213,5,1,303.25,181.75,32.01600091090624
487,609,5,1,304.5,182.5,32.01595731140777
489,1223,5,1,305.75,183.25,32.01591406851044
491,307,5,1,307.0,184.0,32.0158711778571
493,1233,5,1,308.25,184.75,32.01582863516127
495,619,5,1,309.5,185.5,32.01578643620577
497,1243,5,1,310.75,186.25,32.0157445768413
499,39,5,1,312.0,187.0,32.01570305298506
501,1253,5,1,313.25,187.75,32.01566186061942
503,629,5,1,314.5,188.5,32.015620995790684
505,1263,5,1,315.75,189.25,32.01558045460775
507,317,5,1,317.0,190.0,32.015540233240905
509,1273,5,1,318.25,190.75,32.015500327920634
511,639,5,1,319.5,191.5,32.015460734936404
