number,target,multiplier,addend,total,diff,angle
1,1,4.5,3.5,1.0,0.0,45.00000000000001
3,1,4.5,2.5,2.0,1.0,33.690067525979785
5,1,4.5,9.5,4.0,1.0,38.65980825409008
7,17,4.5,2.5,4.25,2.75,31.26373169437743
9,11,4.5,3.5,5.5,3.5,31.429565614838516
11,13,4.5,2.5,6.5,4.5,30.579226872489016
13,1,4.5,5.5,8.0,5.0,31.607502246248895
15,35,4.5,2.5,8.75,6.25,30.256437163529263
17,5,4.5,3.5,10.0,7.0,30.465544919459887
19,11,4.5,2.5,11.0,8.0,30.068582821862446
21,1,4.5,33.5,16.0,5.0,37.30394827798342
23,53,4.5,2.5,13.25,9.75,29.945683440395165
25,29,4.5,3.5,14.5,10.5,30.11373315098243
27,31,4.5,2.5,15.5,11.5,29.859016164923098
29,17,4.5,5.5,17.0,12.0,30.37912601136833
31,71,4.5,2.5,17.75,13.25,29.794617204166105
33,19,4.5,3.5,19.0,14.0,29.9315118405078
35,5,4.5,2.5,20.0,15.0,29.744881296942214
37,11,4.5,9.5,22.0,15.0,30.735487701920107
39,89,4.5,2.5,22.25,16.75,29.705312394729365
41,47,4.5,3.5,23.5,17.5,29.820072565473758
43,49,4.5,2.5,24.5,18.5,29.67308211207782
45,13,4.5,5.5,26.0,19.0,30.01836742760908
47,107,4.5,2.5,26.75,20.25,29.646322140405797
49,7,4.5,3.5,28.0,21.0,29.74488129694223
51,29,4.5,2.5,29.0,22.0,29.623748751173814
53,1,4.5,17.5,32.0,21.0,31.122470196791998
55,125,4.5,2.5,31.25,23.75,29.604450746004918
57,65,4.5,3.5,32.5,24.5,29.690726512016816
59,67,4.5,2.5,33.5,25.5,29.587763465418607
61,35,4.5,5.5,35.0,26.0,29.845931949687394
63,143,4.5,2.5,35.75,27.25,29.573190690721262
65,37,4.5,3.5,37.0,28.0,29.649863507575585
67,19,4.5,2.5,38.0,29.0,29.56035446468074
69,5,4.5,9.5,40.0,29.0,30.1013045655997
71,161,4.5,2.5,40.25,30.75,29.54896184184649
73,83,4.5,3.5,41.5,31.5,29.61793369187042
75,85,4.5,2.5,42.5,32.5,29.538782259558097
77,11,4.5,5.5,44.0,33.0,29.744881296942214
79,179,4.5,2.5,44.75,34.25,29.529631771811406
81,23,4.5,3.5,46.0,35.0,29.592296359357984
83,47,4.5,2.5,47.0,36.0,29.52136183458164
85,1,4.5,129.5,64.0,21.0,36.97759635267251
87,197,4.5,2.5,49.25,37.75,29.51385118004675
89,101,4.5,3.5,50.5,38.5,29.57125825410375
91,103,4.5,2.5,51.5,39.5,29.50699983069307
93,53,4.5,5.5,53.0,40.0,29.678489925135203
95,215,4.5,2.5,53.75,41.25,29.500724623499163
97,55,4.5,3.5,55.0,42.0,29.55368363230744
99,7,4.5,2.5,56.0,43.0,29.494955817687707
101,29,4.5,9.5,58.0,43.0,29.866916851512983
103,233,4.5,2.5,58.25,44.75,29.489634491869634
105,119,4.5,3.5,59.5,45.5,29.538782259558097
107,121,4.5,2.5,60.5,46.5,29.484710524271204
109,31,4.5,5.5,62.0,47.0,29.631536678203886
111,251,4.5,2.5,62.75,48.25,29.480141009138723
113,1,4.5,3.5,64.0,49.0,29.52598731124173
115,65,4.5,2.5,65.0,50.0,29.47588900324574
117,17,4.5,17.5,68.0,49.0,30.165007805741276
119,269,4.5,2.5,67.25,51.75,29.471922524919574
121,137,4.5,3.5,68.5,52.5,29.51488163334485
123,139,4.5,2.5,69.5,53.5,29.468213748165986
125,71,4.5,5.5,71.0,54.0,29.59657503753039
127,287,4.5,2.5,71.75,55.25,29.46473834892403
129,73,4.5,3.5,73.0,56.0,29.505151400861372
131,37,4.5,2.5,74.0,57.0,29.461474970967913
133,19,4.5,9.5,76.0,57.0,29.744881296942214
135,305,4.5,2.5,76.25,58.75,29.458404786665156
137,155,4.5,3.5,77.5,59.5,29.496555990270448
139,157,4.5,2.5,78.5,60.5,29.45551113350164
141,5,4.5,5.5,80.0,61.0,29.569531333267776
143,323,4.5,2.5,80.75,62.25,29.45277921155214
145,41,4.5,3.5,82.0,63.0,29.48890781227257
147,83,4.5,2.5,83.0,64.0,29.450195830298426
149,11,4.5,33.5,88.0,61.0,30.566269889554523
151,341,4.5,2.5,85.25,65.75,29.447749195651934
153,173,4.5,3.5,86.5,66.5,29.4820584637057
155,175,4.5,2.5,87.5,67.5,29.445428729925602
157,89,4.5,5.5,89.0,68.0,29.547989358870304
159,359,4.5,2.5,89.75,69.25,29.44322491895631
161,91,4.5,3.5,91.0,70.0,29.47588900324574
163,23,4.5,2.5,92.0,71.0,29.44112918171866
165,47,4.5,9.5,94.0,71.0,29.670033815660553
167,377,4.5,2.5,94.25,72.75,29.43913375866166
169,191,4.5,3.5,95.5,73.5,29.470302985956916
171,193,4.5,2.5,96.5,74.5,29.437231615705183
173,49,4.5,5.5,98.0,75.0,29.530425232267138
175,395,4.5,2.5,98.75,76.25,29.435416361392644
177,25,4.5,3.5,100.0,77.0,29.46522138476669
179,101,4.5,2.5,101.0,78.0,29.43368217514318
181,13,4.5,17.5,104.0,77.0,29.881056392914704
183,413,4.5,2.5,103.25,79.75,29.43202374490668
185,209,4.5,3.5,104.5,80.5,29.460578828270403
187,211,4.5,2.5,105.5,81.5,29.43043621281431
189,107,4.5,5.5,107.0,82.0,29.515830286084338
191,431,4.5,2.5,107.75,83.25,29.42891512765383
193,109,4.5,3.5,109.0,84.0,29.456320773298568
195,55,4.5,2.5,110.0,85.0,29.42745640318973
197,7,4.5,9.5,112.0,85.0,29.61943917769468
199,449,4.5,2.5,112.25,86.75,29.42605628150698
201,227,4.5,3.5,113.5,87.5,29.452401352059557
