number,multiplier,addend,total,exponent,target
447,875.78778076171875,1226.86199951171875,392704,9,767
447,1313.681671142578125,2096.292999267578125,589312,9,1151
447,1970.5225067138671875,3400.4394989013671875,884224,9,1727
447,2955.78376007080078125,5356.65924835205078125,1326592,9,2591
447,4433.675640106201171875,8290.988872528076171875,1990144,9,3887
447,6650.5134601593017578125,12692.4833087921142578125,2985472,9,5831
447,9975.77019023895263671875,19294.72496318817138671875,4478464,9,8747
447,14963.655285358428955078125,29198.087444782257080078125,6717952,9,13121
447,22445.4829280376434326171875,44053.1311671733856201171875,10077184,10,9841
447,33668.22439205646514892578125,66591.69675076007843017578125,15116288,11,7381
447,50502.336588084697723388671875,100911.545126140117645263671875,22675456,17,173
447,75753.5048821270465850830078125,216903.3176892101764678955078125,34078720,19,65
447,113630.25732319056987762451171875,587498.97653381526470184326171875,51380224,20,49
447,170445.385984785854816436767578125,1405536.464800722897052764892578125,77594624,21,37
447,255668.0789771787822246551513671875,3156880.6972010843455791473388671875,117440512,24,7
447,383502.11846576817333698272705078125,13123929.04580162651836872100830078125,184549376,24,11
447,575253.177698652260005474090576171875,28074501.568702439777553081512451171875,285212672,24,17
447,862879.7665479783900082111358642578125,50500360.3530536596663296222686767578125,436207616,25,13
447,1294319.64982196758501231670379638671875,92527756.52958048949949443340301513671875,671088640,27,5
447,1941479.474732951377518475055694580078125,205900498.794370734249241650104522705078125,1073741824,30,1
511,3,1,1534,1,767
511,4.5,2.5,2302,1,1151
511,6.75,4.75,3454,1,1727
511,10.125,8.125,5182,1,2591
511,15.1875,13.1875,7774,1,3887
511,22.78125,20.78125,11662,1,5831
511,34.171875,32.171875,17494,1,8747
511,51.2578125,49.2578125,26242,1,13121
511,76.88671875,74.88671875,39364,2,9841
511,115.330078125,114.330078125,59048,3,7381
511,172.9951171875,175.4951171875,88576,9,173
511,259.49267578125,519.24267578125,133120,11,65
511,389.239013671875,1802.864013671875,200704,12,49
511,583.8585205078125,4752.2960205078125,303104,13,37
511,875.78778076171875,11224.44403076171875,458752,16,7
511,1313.681671142578125,49604.666046142578125,720896,16,11
511,1970.5225067138671875,107174.9990692138671875,1114112,16,17
511,2955.78376007080078125,193530.49860382080078125,1703936,17,13
511,4433.675640106201171875,355831.747905731201171875,2621440,19,5
511,6650.5134601593017578125,795891.6218585968017578125,4194304,22,1
261,3,1,784,4,49
261,4.5,9.5,1184,5,37
261,6.75,30.25,1792,8,7
261,10.125,173.375,2816,8,11
261,15.1875,388.0625,4352,8,17
261,22.78125,710.09375,6656,9,13
261,34.171875,1321.140625,10240,11,5
261,51.2578125,3005.7109375,16384,14,1
87,3,1,262,1,131
87,4.5,2.5,394,1,197
87,6.75,4.75,592,4,37
87,10.125,15.125,896,7,7
87,15.1875,86.6875,1408,7,11
87,22.78125,194.03125,2176,7,17
87,34.171875,355.046875,3328,8,13
87,51.2578125,660.5703125,5120,10,5
87,76.88671875,1502.85546875,8192,13,1
465,3,1,1396,2,349
465,4.5,3.5,2096,4,131
465,6.75,13.25,3152,4,197
465,10.125,27.875,4736,7,37
465,15.1875,105.8125,7168,10,7
465,22.78125,670.71875,11264,10,11
465,34.171875,1518.078125,17408,10,17
465,51.2578125,2789.1171875,26624,11,13
465,76.88671875,5207.67578125,40960,13,5
465,115.330078125,11907.513671875,65536,16,1
489,3,1,1468,2,367
489,4.5,3.5,2204,2,551
489,6.75,7.25,3308,2,827
489,10.125,12.875,4964,2,1241
489,15.1875,21.3125,7448,3,931
489,22.78125,35.96875,11176,3,1397
489,34.171875,57.953125,16768,7,131
489,51.2578125,150.9296875,25216,7,197
489,76.88671875,290.39453125,37888,10,37
489,115.330078125,947.591796875,57344,13,7
489,172.9951171875,5517.3876953125,90112,13,11
489,259.49267578125,12372.08154296875,139264,13,17
489,389.239013671875,22654.122314453125,212992,14,13
489,583.8585205078125,42173.1834716796875,327680,16,5
489,875.78778076171875,96027.77520751953125,524288,19,1
99,3,1,298,1,149
99,4.5,2.5,448,6,7
99,6.75,35.75,704,6,11
99,10.125,85.625,1088,6,17
99,15.1875,160.4375,1664,7,13
99,22.78125,304.65625,2560,9,5
99,34.171875,712.984375,4096,12,1
397,3,1,1192,3,149
397,4.5,5.5,1792,8,7
397,6.75,136.25,2816,8,11
397,10.125,332.375,4352,8,17
397,15.1875,626.5625,6656,9,13
397,22.78125,1195.84375,10240,11,5
397,34.171875,2817.765625,16384,14,1
33,3,1,100,2,25
33,4.5,3.5,152,3,19
33,6.75,9.25,232,3,29
33,10.125,17.875,352,5,11
33,15.1875,42.8125,544,5,17
33,22.78125,80.21875,832,6,13
33,34.171875,152.328125,1280,8,5
33,51.2578125,356.4921875,2048,11,1
177,3,1,532,2,133
177,4.5,3.5,800,5,25
177,6.75,21.25,1216,6,19
177,10.125,63.875,1856,6,29
177,15.1875,127.8125,2816,8,11
177,22.78125,319.71875,4352,8,17
177,34.171875,607.578125,6656,9,13
177,51.2578125,1167.3671875,10240,11,5
177,76.88671875,2775.05078125,16384,14,1
315,3,1,946,1,473
315,4.5,2.5,1420,2,355
315,6.75,5.75,2132,2,533
315,10.125,10.625,3200,7,25
315,15.1875,79.9375,4864,8,19
315,22.78125,247.90625,7424,8,29
315,34.171875,499.859375,11264,10,11
315,51.2578125,1261.7890625,17408,10,17
315,76.88671875,2404.68359375,26624,11,13
315,115.330078125,4631.025390625,40960,13,5
315,172.9951171875,11042.5380859375,65536,16,1
39,3,1,118,1,59
39,4.5,2.5,178,1,89
39,6.75,4.75,268,2,67
39,10.125,9.125,404,2,101
39,15.1875,15.6875,608,5,19
39,22.78125,39.53125,928,5,29
39,34.171875,75.296875,1408,7,11
39,51.2578125,176.9453125,2176,7,17
39,76.88671875,329.41796875,3328,8,13
39,115.330078125,622.126953125,5120,10,5
39,172.9951171875,1445.1904296875,8192,13,1
123,3,1,370,1,185
123,4.5,2.5,556,2,139
123,6.75,5.75,836,2,209
123,10.125,10.625,1256,3,157
123,15.1875,19.9375,1888,5,59
123,22.78125,45.90625,2848,5,89
123,34.171875,84.859375,4288,6,67
123,51.2578125,159.2890625,6464,6,101
123,76.88671875,270.93359375,9728,9,19
123,115.330078125,662.400390625,14848,9,29
123,172.9951171875,1249.6005859375,22528,11,11
123,259.49267578125,2898.40087890625,34816,11,17
123,389.239013671875,5371.601318359375,53248,12,13
123,583.8585205078125,10105.4019775390625,81920,14,5
123,875.78778076171875,23350.10296630859375,131072,17,1
493,3,1,1480,3,185
493,4.5,5.5,2224,4,139
493,6.75,16.25,3344,4,209
493,10.125,32.375,5024,5,157
493,15.1875,64.5625,7552,7,59
493,22.78125,160.84375,11392,7,89
493,34.171875,305.265625,17152,8,67
493,51.2578125,585.8984375,25856,8,101
493,76.88671875,1006.84765625,38912,11,19
493,115.330078125,2534.271484375,59392,11,29
493,172.9951171875,4825.4072265625,90112,13,11
493,259.49267578125,11334.11083984375,139264,13,17
493,389.239013671875,21097.166259765625,212992,14,13
493,583.8585205078125,39837.7493896484375,327680,16,5
493,875.78778076171875,92524.62408447265625,524288,19,1
219,3,1,658,1,329
219,4.5,2.5,988,2,247
219,6.75,5.75,1484,2,371
219,10.125,10.625,2228,2,557
219,15.1875,17.9375,3344,4,209
219,22.78125,34.90625,5024,5,157
219,34.171875,68.359375,7552,7,59
219,51.2578125,166.5390625,11392,7,89
219,76.88671875,313.80859375,17152,8,67
219,115.330078125,598.712890625,25856,8,101
219,172.9951171875,1026.0693359375,38912,11,19
219,259.49267578125,2563.10400390625,59392,11,29
219,389.239013671875,4868.656005859375,90112,13,11
219,583.8585205078125,11398.9840087890625,139264,13,17
219,875.78778076171875,21194.47601318359375,212992,14,13
219,1313.681671142578125,39983.714019775390625,327680,16,5
219,1970.5225067138671875,92743.5710296630859375,524288,19,1
439,3,1,1318,1,659
439,4.5,2.5,1978,1,989
439,6.75,4.75,2968,3,371
439,10.125,11.125,4456,3,557
439,15.1875,20.6875,6688,5,209
439,22.78125,47.03125,10048,6,157
439,34.171875,102.546875,15104,8,59
439,51.2578125,281.8203125,22784,8,89
439,76.88671875,550.73046875,34304,9,67
439,115.330078125,1082.095703125,51712,9,101
439,172.9951171875,1879.1435546875,77824,12,19
439,259.49267578125,4866.71533203125,118784,12,29
439,389.239013671875,9348.072998046875,180224,14,11
439,583.8585205078125,22214.1094970703125,278528,14,17
439,875.78778076171875,41513.16424560546875,425984,15,13
439,1313.681671142578125,78653.746368408203125,655360,17,5
439,1970.5225067138671875,183516.6195526123046875,1048576,20,1
279,3,1,838,1,419
279,4.5,2.5,1258,1,629
279,6.75,4.75,1888,5,59
279,10.125,23.125,2848,5,89
279,15.1875,50.6875,4288,6,67
279,22.78125,108.03125,6464,6,101
279,34.171875,194.046875,9728,9,19
279,51.2578125,547.0703125,14848,9,29
279,76.88671875,1076.60546875,22528,11,11
279,115.330078125,2638.908203125,34816,11,17
279,172.9951171875,4982.3623046875,53248,12,13
279,259.49267578125,9521.54345703125,81920,14,5
279,389.239013671875,22474.315185546875,131072,17,1
237,3,1,712,3,89
237,4.5,5.5,1072,4,67
237,6.75,16.25,1616,4,101
237,10.125,32.375,2432,7,19
237,15.1875,112.5625,3712,7,29
237,22.78125,232.84375,5632,9,11
237,34.171875,605.265625,8704,9,17
237,51.2578125,1163.8984375,13312,10,13
237,76.88671875,2257.84765625,20480,12,5
237,115.330078125,5434.771484375,32768,15,1
357,3,1,1072,4,67
357,4.5,9.5,1616,4,101
357,6.75,22.25,2432,7,19
357,10.125,97.375,3712,7,29
357,15.1875,210.0625,5632,9,11
357,22.78125,571.09375,8704,9,17
357,34.171875,1112.640625,13312,10,13
357,51.2578125,2180.9609375,20480,12,5
357,76.88671875,5319.44140625,32768,15,1
105,3,1,316,2,79
105,4.5,3.5,476,2,119
105,6.75,7.25,716,2,179
105,10.125,12.875,1076,2,269
105,15.1875,21.3125,1616,4,101
105,22.78125,39.96875,2432,7,19
105,34.171875,123.953125,3712,7,29
105,51.2578125,249.9296875,5632,9,11
105,76.88671875,630.89453125,8704,9,17
105,115.330078125,1202.341796875,13312,10,13
105,172.9951171875,2315.5126953125,20480,12,5
105,259.49267578125,5521.26904296875,32768,15,1
421,3,1,1264,4,79
421,4.5,9.5,1904,4,119
421,6.75,22.25,2864,4,179
421,10.125,41.375,4304,4,269
421,15.1875,70.0625,6464,6,101
421,22.78125,137.09375,9728,9,19
421,34.171875,461.640625,14848,9,29
421,51.2578125,948.4609375,22528,11,11
421,76.88671875,2446.69140625,34816,11,17
421,115.330078125,4694.037109375,53248,12,13
421,172.9951171875,9089.0556640625,81920,14,5
421,259.49267578125,21825.58349609375,131072,17,1
249,3,1,748,2,187
249,4.5,3.5,1124,2,281
249,6.75,7.25,1688,3,211
249,10.125,14.875,2536,3,317
249,15.1875,26.3125,3808,5,119
249,22.78125,55.46875,5728,5,179
249,34.171875,99.203125,8608,5,269
249,51.2578125,164.8046875,12928,7,101
249,76.88671875,311.20703125,19456,10,19
249,115.330078125,978.810546875,29696,10,29
249,172.9951171875,1980.2158203125,45056,12,11
249,259.49267578125,5018.32373046875,69632,12,17
249,389.239013671875,9575.485595703125,106496,13,13
249,583.8585205078125,18459.2283935546875,163840,15,5
249,875.78778076171875,44072.84259033203125,262144,18,1
393,3,1,1180,2,295
393,4.5,3.5,1772,2,443
393,6.75,7.25,2660,2,665
393,10.125,12.875,3992,3,499
393,15.1875,23.3125,5992,3,749
393,22.78125,38.96875,8992,5,281
393,34.171875,74.453125,13504,6,211
393,51.2578125,143.6796875,20288,6,317
393,76.88671875,247.51953125,30464,8,119
393,115.330078125,499.279296875,45824,8,179
393,172.9951171875,876.9189453125,68864,8,269
393,259.49267578125,1443.37841796875,103424,10,101
393,389.239013671875,2677.067626953125,155648,13,19
393,583.8585205078125,8111.6014404296875,237568,13,29
393,875.78778076171875,16263.40216064453125,360448,15,11
393,1313.681671142578125,40779.103240966796875,557056,15,17
393,1970.5225067138671875,77552.6548614501953125,851968,16,13
393,2955.78376007080078125,149096.98229217529296875,1310720,18,5
393,4433.675640106201171875,354717.473438262939453125,2097152,21,1
375,3,1,1126,1,563
375,4.5,2.5,1690,1,845
375,6.75,4.75,2536,3,317
375,10.125,11.125,3808,5,119
375,15.1875,32.6875,5728,5,179
375,22.78125,65.03125,8608,5,269
375,34.171875,113.546875,12928,7,101
375,51.2578125,234.3203125,19456,10,19
375,76.88671875,863.48046875,29696,10,29
375,115.330078125,1807.220703125,45056,12,11
375,172.9951171875,4758.8310546875,69632,12,17
375,259.49267578125,9186.24658203125,106496,13,13
375,389.239013671875,17875.369873046875,163840,15,5
375,583.8585205078125,43197.0548095703125,262144,18,1
477,3,1,1432,3,179
477,4.5,5.5,2152,3,269
477,6.75,12.25,3232,5,101
477,10.125,34.375,4864,8,19
477,15.1875,179.5625,7424,8,29
477,22.78125,397.34375,11264,10,11
477,34.171875,1108.015625,17408,10,17
477,51.2578125,2174.0234375,26624,11,13
477,76.88671875,4285.03515625,40960,13,5
477,115.330078125,10523.552734375,65536,16,1
405,3,1,1216,6,19
405,4.5,33.5,1856,6,29
405,6.75,82.25,2816,8,11
405,10.125,251.375,4352,8,17
405,15.1875,505.0625,6656,9,13
405,22.78125,1013.59375,10240,11,5
405,34.171875,2544.390625,16384,14,1
51,3,1,154,1,77
51,4.5,2.5,232,3,29
51,6.75,7.75,352,5,11
51,10.125,27.625,544,5,17
51,15.1875,57.4375,832,6,13
51,22.78125,118.15625,1280,8,5
51,34.171875,305.234375,2048,11,1
273,3,1,820,2,205
273,4.5,3.5,1232,4,77
273,6.75,13.25,1856,6,29
273,10.125,51.875,2816,8,11
273,15.1875,205.8125,4352,8,17
273,22.78125,436.71875,6656,9,13
273,34.171875,911.078125,10240,11,5
273,51.2578125,2390.6171875,16384,14,1
225,3,1,676,2,169
225,4.5,3.5,1016,3,127
225,6.75,9.25,1528,3,191
225,10.125,17.875,2296,3,287
225,15.1875,30.8125,3448,3,431
225,22.78125,50.21875,5176,3,647
225,34.171875,79.328125,7768,3,971
225,51.2578125,122.9921875,11656,3,1457
225,76.88671875,188.48828125,17488,4,1093
225,115.330078125,290.732421875,26240,7,205
225,172.9951171875,500.0986328125,39424,9,77
225,259.49267578125,1006.14794921875,59392,11,29
225,389.239013671875,2533.221923828125,90112,13,11
225,583.8585205078125,7895.8328857421875,139264,13,17
225,875.78778076171875,15939.74932861328125,212992,14,13
225,1313.681671142578125,32101.623992919921875,327680,16,5
225,1970.5225067138671875,80920.4359893798828125,524288,19,1
451,3,1,1354,1,677
451,4.5,2.5,2032,4,127
451,6.75,11.75,3056,4,191
451,10.125,25.625,4592,4,287
451,15.1875,46.4375,6896,4,431
451,22.78125,77.65625,10352,4,647
451,34.171875,124.484375,15536,4,971
451,51.2578125,194.7265625,23312,4,1457
451,76.88671875,300.08984375,34976,5,1093
451,115.330078125,466.134765625,52480,8,205
451,172.9951171875,827.2021484375,78848,10,77
451,259.49267578125,1752.80322265625,118784,12,29
451,389.239013671875,4677.204833984375,180224,14,11
451,583.8585205078125,15207.8072509765625,278528,14,17
451,875.78778076171875,31003.71087646484375,425984,15,13
451,1313.681671142578125,62889.566314697265625,655360,17,5
451,1970.5225067138671875,159870.3494720458984375,1048576,20,1
339,3,1,1018,1,509
339,4.5,2.5,1528,3,191
339,6.75,7.75,2296,3,287
339,10.125,15.625,3448,3,431
339,15.1875,27.4375,5176,3,647
339,22.78125,45.15625,7768,3,971
339,34.171875,71.734375,11656,3,1457
339,51.2578125,111.6015625,17488,4,1093
339,76.88671875,175.40234375,26240,7,205
339,115.330078125,327.103515625,39424,9,77
339,172.9951171875,746.6552734375,59392,11,29
339,259.49267578125,2143.98291015625,90112,13,11
339,389.239013671875,7311.974365234375,139264,13,17
339,583.8585205078125,15063.9615478515625,212992,14,13
339,875.78778076171875,30787.94232177734375,327680,16,5
339,1313.681671142578125,78949.913482666015625,524288,19,1
255,3,1,766,1,383
255,4.5,2.5,1150,1,575
255,6.75,4.75,1726,1,863
255,10.125,8.125,2590,1,1295
255,15.1875,13.1875,3886,1,1943
255,22.78125,20.78125,5830,1,2915
255,34.171875,32.171875,8746,1,4373
255,51.2578125,49.2578125,13120,6,205
255,76.88671875,105.88671875,19712,8,77
255,115.330078125,286.830078125,29696,10,29
255,172.9951171875,942.2451171875,45056,12,11
255,259.49267578125,3461.36767578125,69632,12,17
255,389.239013671875,7240.051513671875,106496,13,13
255,583.8585205078125,14956.0772705078125,163840,15,5
255,875.78778076171875,38818.11590576171875,262144,18,1
309,3,1,928,5,29
309,4.5,17.5,1408,7,11
309,6.75,90.25,2176,7,17
309,10.125,199.375,3328,8,13
309,15.1875,427.0625,5120,10,5
309,22.78125,1152.59375,8192,13,1
117,3,1,352,5,11
117,4.5,17.5,544,5,17
117,6.75,42.25,832,6,13
117,10.125,95.375,1280,8,5
117,15.1875,271.0625,2048,11,1
469,3,1,1408,7,11
469,4.5,65.5,2176,7,17
469,6.75,162.25,3328,8,13
469,10.125,371.375,5120,10,5
469,15.1875,1069.0625,8192,13,1
45,3,1,136,3,17
45,4.5,5.5,208,4,13
45,6.75,16.25,320,6,5
45,10.125,56.375,512,9,1
321,3,1,964,2,241
321,4.5,3.5,1448,3,181
321,6.75,9.25,2176,7,17
321,10.125,77.875,3328,8,13
321,15.1875,244.8125,5120,10,5
321,22.78125,879.21875,8192,13,1
507,3,1,1522,1,761
507,4.5,2.5,2284,2,571
507,6.75,5.75,3428,2,857
507,10.125,10.625,5144,3,643
507,15.1875,19.9375,7720,3,965
507,22.78125,33.90625,11584,6,181
507,34.171875,82.859375,17408,10,17
507,51.2578125,636.2890625,26624,11,13
507,76.88671875,1978.43359375,40960,13,5
507,115.330078125,7063.650390625,65536,16,1
483,3,1,1450,1,725
483,4.5,2.5,2176,7,17
483,6.75,67.75,3328,8,13
483,10.125,229.625,5120,10,5
483,15.1875,856.4375,8192,13,1
69,3,1,208,4,13
69,4.5,9.5,320,6,5
69,6.75,46.25,512,9,1
369,3,1,1108,2,277
369,4.5,3.5,1664,7,13
369,6.75,69.25,2560,9,5
369,10.125,359.875,4096,12,1
15,3,1,46,1,23
15,4.5,2.5,70,1,35
15,6.75,4.75,106,1,53
15,10.125,8.125,160,5,5
15,15.1875,28.1875,256,8,1
81,3,1,244,2,61
81,4.5,3.5,368,4,23
81,6.75,13.25,560,4,35
81,10.125,27.875,848,4,53
81,15.1875,49.8125,1280,8,5
81,22.78125,202.71875,2048,11,1
303,3,1,910,1,455
303,4.5,2.5,1366,1,683
303,6.75,4.75,2050,1,1025
303,10.125,8.125,3076,2,769
303,15.1875,14.1875,4616,3,577
303,22.78125,25.28125,6928,4,433
303,34.171875,45.921875,10400,5,325
303,51.2578125,84.8828125,15616,8,61
303,76.88671875,255.32421875,23552,10,23
303,115.330078125,894.986328125,35840,10,35
303,172.9951171875,1854.4794921875,54272,10,53
303,259.49267578125,3293.71923828125,81920,14,5
303,389.239013671875,13132.578857421875,131072,17,1
159,3,1,478,1,239
159,4.5,2.5,718,1,359
159,6.75,4.75,1078,1,539
159,10.125,8.125,1618,1,809
159,15.1875,13.1875,2428,2,607
159,22.78125,21.78125,3644,2,911
159,34.171875,34.671875,5468,2,1367
159,51.2578125,54.0078125,8204,2,2051
159,76.88671875,83.01171875,12308,2,3077
159,115.330078125,126.517578125,18464,5,577
159,172.9951171875,205.7763671875,27712,6,433
159,259.49267578125,340.66455078125,41600,7,325
159,389.239013671875,574.996826171875,62464,10,61
159,583.8585205078125,1374.4952392578125,94208,12,23
159,875.78778076171875,4109.74285888671875,143360,12,35
159,1313.681671142578125,8212.614288330078125,217088,12,53
159,1970.5225067138671875,14366.9214324951171875,327680,16,5
159,2955.78376007080078125,54318.38214874267578125,524288,19,1
495,3,1,1486,1,743
495,4.5,2.5,2230,1,1115
495,6.75,4.75,3346,1,1673
495,10.125,8.125,5020,2,1255
495,15.1875,14.1875,7532,2,1883
495,22.78125,23.28125,11300,2,2825
495,34.171875,36.921875,16952,3,2119
495,51.2578125,59.3828125,25432,3,3179
495,76.88671875,93.07421875,38152,3,4769
495,115.330078125,143.611328125,57232,4,3577
495,172.9951171875,223.4169921875,85856,5,2683
495,259.49267578125,351.12548828125,128800,5,4025
495,389.239013671875,542.688232421875,193216,6,3019
495,583.8585205078125,846.0323486328125,289856,6,4529
495,875.78778076171875,1301.04852294921875,434816,7,3397
495,1313.681671142578125,2015.572784423828125,652288,10,637
495,1970.5225067138671875,3535.3591766357421875,978944,12,239
495,2955.78376007080078125,7351.03876495361328125,1470464,12,359
495,4433.675640106201171875,13074.558147430419921875,2207744,12,539
495,6650.5134601593017578125,21659.8372211456298828125,3313664,12,809
495,9975.77019023895263671875,34537.75583171844482421875,4972544,13,607
495,14963.655285358428955078125,55902.633747577667236328125,7462912,13,911
495,22445.4829280376434326171875,87949.9506213665008544921875,11198464,13,1367
495,33668.22439205646514892578125,136020.92593204975128173828125,16801792,13,2051
495,50502.336588084697723388671875,208127.388898074626922607421875,25206784,13,3077
495,75753.5048821270465850830078125,316287.0833471119403839111328125,37814272,16,577
495,113630.25732319056987762451171875,507198.62502066791057586669921875,56754176,17,433
495,170445.385984785854816436767578125,826333.937531001865863800048828125,85196800,18,325
495,255668.0789771787822246551513671875,1370572.9062965027987957000732421875,127926272,21,61
495,383502.11846576817333698272705078125,3104435.35944475419819355010986328125,192937984,23,23
495,575253.177698652260005474090576171875,8850957.039167131297290325164794921875,293601280,23,35
495,862879.7665479783900082111358642578125,17470739.5587506969459354877471923828125,444596224,23,53
495,1294319.64982196758501231670379638671875,30400413.33812604541890323162078857421875,671088640,27,5
495,1941479.474732951377518475055694580078125,112709484.007189068128354847431182861328125,1073741824,30,1
111,3,1,334,1,167
111,4.5,2.5,502,1,251
111,6.75,4.75,754,1,377
111,10.125,8.125,1132,2,283
111,15.1875,14.1875,1700,2,425
111,22.78125,23.28125,2552,3,319
111,34.171875,38.921875,3832,3,479
111,51.2578125,62.3828125,5752,3,719
111,76.88671875,97.57421875,8632,3,1079
111,115.330078125,150.361328125,12952,3,1619
111,172.9951171875,229.5419921875,19432,3,2429
111,259.49267578125,348.31298828125,29152,5,911
111,389.239013671875,538.469482421875,43744,5,1367
111,583.8585205078125,823.7042236328125,65632,5,2051
111,875.78778076171875,1251.55633544921875,98464,5,3077
111,1313.681671142578125,1893.334503173828125,147712,8,577
111,1970.5225067138671875,2968.0017547607421875,221696,9,433
111,2955.78376007080078125,4708.00263214111328125,332800,10,325
111,4433.675640106201171875,7574.003948211669921875,499712,13,61
111,6650.5134601593017578125,15457.0059223175048828125,753664,15,23
111,9975.77019023895263671875,39569.50888347625732421875,1146880,15,35
111,14963.655285358428955078125,75738.263325214385986328125,1736704,15,53
111,22445.4829280376434326171875,129991.3949878215789794921875,2621440,19,5
111,33668.22439205646514892578125,457131.09248173236846923828125,4194304,22,1
27,3,1,82,1,41
27,4.5,2.5,124,2,31
27,6.75,5.75,188,2,47
27,10.125,10.625,284,2,71
27,15.1875,17.9375,428,2,107
27,22.78125,28.90625,644,2,161
27,34.171875,45.359375,968,3,121
27,51.2578125,72.0390625,1456,4,91
27,76.88671875,116.05859375,2192,4,137
27,115.330078125,182.087890625,3296,5,103
27,172.9951171875,289.1318359375,4960,5,155
27,259.49267578125,449.69775390625,7456,5,233
27,389.239013671875,690.546630859375,11200,6,175
27,583.8585205078125,1067.8199462890625,16832,6,263
27,875.78778076171875,1633.72991943359375,25280,6,395
27,1313.681671142578125,2482.594879150390625,37952,6,593
27,1970.5225067138671875,3755.8923187255859375,56960,7,445
27,2955.78376007080078125,5697.83847808837890625,85504,9,167
27,4433.675640106201171875,8802.757717132568359375,128512,9,251
27,6650.5134601593017578125,13460.1365756988525390625,193024,9,377
27,9975.77019023895263671875,20446.20486354827880859375,289792,10,283
27,14963.655285358428955078125,31181.307295322418212890625,435200,10,425
27,22445.4829280376434326171875,47283.9609429836273193359375,653312,11,319
27,33668.22439205646514892578125,71949.94141447544097900390625,980992,11,479
27,50502.336588084697723388671875,108948.912121713161468505859375,1472512,11,719
27,75753.5048821270465850830078125,164447.3681825697422027587890625,2209792,11,1079
27,113630.25732319056987762451171875,247695.05227385461330413818359375,3315712,11,1619
27,170445.385984785854816436767578125,372566.578410781919956207275390625,4974592,11,2429
27,255668.0789771787822246551513671875,559873.8676161728799343109130859375,7462912,13,911
27,383502.11846576817333698272705078125,843906.80142425931990146636962890625,11198464,13,1367
27,575253.177698652260005474090576171875,1269956.202136388979852199554443359375,16801792,13,2051
27,862879.7665479783900082111358642578125,1909030.3032045834697782993316650390625,25206784,13,3077
27,1294319.64982196758501231670379638671875,2867641.45480687520466744899749755859375,37814272,16,577
27,1941479.474732951377518475055694580078125,4334230.182210312807001173496246337890625,56754176,17,433
27,2912219.2120994270662777125835418701171875,6566881.2733154692105017602443695068359375,85196800,18,325
27,4368328.81814914059941656887531280517578125,9981393.90997320381575264036655426025390625,127926272,21,61
27,6552493.227223710899124853312969207763671875,16020666.864959805723628960549831390380859375,192937984,23,23
27,9828739.8408355663486872799694538116455078125,28225304.2974397085854434408247470855712890625,293601280,23,35
27,14743109.76125334952303091995418071746826171875,46532260.44615956287816516123712062835693359375,444596224,23,53
27,22114664.641880024284546379931271076202392578125,73992694.669239344317247741855680942535400390625,671088640,27,5
27,33171996.9628200364268195698969066143035888671875,178097906.0038590164758716127835214138031005859375,1073741824,30,1
171,3,1,514,1,257
171,4.5,2.5,772,2,193
171,6.75,5.75,1160,3,145
171,10.125,12.625,1744,4,109
171,15.1875,26.9375,2624,6,41
171,22.78125,72.40625,3968,7,31
171,34.171875,172.609375,6016,7,47
171,51.2578125,322.9140625,9088,7,71
171,76.88671875,548.37109375,13696,7,107
171,115.330078125,886.556640625,20608,7,161
171,172.9951171875,1393.8349609375,30976,8,121
171,259.49267578125,2218.75244140625,46592,9,91
171,389.239013671875,3584.128662109375,70144,9,137
171,583.8585205078125,5632.1929931640625,105472,10,103
171,875.78778076171875,8960.28948974609375,158720,10,155
171,1313.681671142578125,13952.434234619140625,238592,10,233
171,1970.5225067138671875,21440.6513519287109375,358400,11,175
171,2955.78376007080078125,33184.97702789306640625,538624,11,263
171,4433.675640106201171875,50801.465541839599609375,808960,11,395
171,6650.5134601593017578125,77226.1983127593994140625,1214464,11,593
171,9975.77019023895263671875,116863.29746913909912109375,1822720,12,445
171,14963.655285358428955078125,177342.946203708648681640625,2736128,14,167
171,22445.4829280376434326171875,274206.4193055629730224609375,4112384,14,251
171,33668.22439205646514892578125,419501.62895834445953369140625,6176768,14,377
171,50502.336588084697723388671875,637444.443437516689300537109375,9273344,15,283
171,75753.5048821270465850830078125,972550.6651562750339508056640625,13926400,15,425
171,113630.25732319056987762451171875,1475209.99773441255092620849609375,20905984,16,319
171,170445.385984785854816436767578125,2245582.996601618826389312744140625,31391744,16,479
171,255668.0789771787822246551513671875,3401142.4949024282395839691162109375,47120384,16,719
171,383502.11846576817333698272705078125,5134481.74235364235937595367431640625,70713344,16,1079
171,575253.177698652260005474090576171875,7734490.613530463539063930511474609375,106102784,16,1619
171,862879.7665479783900082111358642578125,11634503.9202956953085958957672119140625,159186944,16,2429
171,1294319.64982196758501231670379638671875,17484523.88044354296289384365081787109375,238813184,18,911
171,1941479.474732951377518475055694580078125,26357857.820665314444340765476226806640625,358350848,18,1367
171,2912219.2120994270662777125835418701171875,39667858.7309979716665111482143402099609375,537657344,18,2051
171,4368328.81814914059941656887531280517578125,59632860.09649695749976672232151031494140625,806617088,18,3077
171,6552493.227223710899124853312969207763671875,89580362.144745436249650083482265472412109375,1210056704,21,577
171,9828739.8408355663486872799694538116455078125,135419119.2171181543744751252233982086181640625,1816133632,22,433
171,14743109.76125334952303091995418071746826171875,205225830.82567723156171268783509731292724609375,2726297600,23,325
